"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","1,158.06","1,177.52","1,177.52","1,151.89","809.37M","-2.49%"
"Apr 30, 2020","1,187.61","1,195.22","1,200.70","1,168.15","1.24B","-0.31%"
"Apr 29, 2020","1,191.29","1,187.41","1,192.97","1,178.44","1.01B","0.80%"
"Apr 28, 2020","1,181.82","1,191.56","1,195.94","1,179.84","1.11B","-0.66%"
"Apr 27, 2020","1,189.70","1,175.84","1,190.83","1,175.51","1.26B","2.39%"
"Apr 24, 2020","1,161.89","1,159.86","1,170.23","1,152.46","1.07B","0.34%"
"Apr 22, 2020","1,157.90","1,160.73","1,168.32","1,157.53","1.11B","0.23%"
"Apr 21, 2020","1,155.30","1,166.49","1,168.31","1,151.49","871.82M","-1.65%"
"Apr 20, 2020","1,174.68","1,173.83","1,179.65","1,164.90","1.07B","0.47%"
"Apr 17, 2020","1,169.22","1,170.04","1,177.64","1,162.44","1.23B","2.22%"
"Apr 16, 2020","1,143.85","1,153.55","1,158.18","1,136.00","1.10B","0.04%"
"Apr 15, 2020","1,143.38","1,182.44","1,185.82","1,134.22","1.54B","-2.92%"
"Apr 14, 2020","1,177.78","1,161.15","1,178.37","1,160.59","1.56B","2.65%"
"Apr 13, 2020","1,147.42","1,138.53","1,161.00","1,133.34","1.20B","-0.43%"
"Apr 10, 2020","1,152.40","1,148.63","1,166.49","1,138.33","1.37B","0.72%"
"Apr 09, 2020","1,144.13","1,120.87","1,144.13","1,113.49","1.81B","3.22%"
"Apr 08, 2020","1,108.43","1,099.15","1,108.94","1,092.64","858.20M","0.89%"
"Apr 07, 2020","1,098.70","1,105.63","1,126.25","1,098.70","1.69B","0.59%"
"Apr 06, 2020","1,092.25","1,081.97","1,093.12","1,076.24","980.53M","2.59%"
"Apr 03, 2020","1,064.67","1,067.02","1,071.48","1,060.57","901.06M","-0.18%"
"Apr 02, 2020","1,066.63","1,069.15","1,077.31","1,050.16","1.49B","0.49%"
"Apr 01, 2020","1,061.48","1,050.47","1,076.23","1,045.90","1.25B","-0.60%"
"Mar 31, 2020","1,067.91","1,067.99","1,079.47","1,058.46","939.18M","1.36%"
"Mar 30, 2020","1,053.54","1,052.22","1,063.66","1,039.30","796.15M","-0.18%"
"Mar 27, 2020","1,055.40","1,099.96","1,106.32","1,055.40","1.12B","-3.82%"
"Mar 26, 2020","1,097.35","1,064.20","1,100.29","1,059.62","1.36B","2.94%"
"Mar 25, 2020","1,066.04","1,087.23","1,104.32","1,058.38","1.54B","-0.74%"
"Mar 24, 2020","1,074.01","1,054.97","1,079.93","1,046.24","1.21B","5.91%"
"Mar 23, 2020","1,014.10","1,003.38","1,046.02","993.05","1.16B","-2.23%"
"Mar 20, 2020","1,037.27","1,059.06","1,070.57","1,027.78","923.86M","0.17%"
"Mar 19, 2020","1,035.49","1,034.33","1,057.09","1,020.94","1.09B","-0.56%"
"Mar 18, 2020","1,041.34","1,034.18","1,069.31","1,028.34","988.97M","-1.62%"
"Mar 17, 2020","1,058.54","1,081.86","1,081.86","996.64","1.33B","-0.71%"
"Mar 16, 2020","1,066.09","1,117.05","1,117.05","1,051.60","878.70M","-7.98%"
"Mar 13, 2020","1,158.49","1,139.31","1,201.19","1,114.79","1.37B","1.82%"
"Mar 12, 2020","1,137.74","1,190.12","1,195.39","1,124.78","888.16M","-6.77%"
"Mar 11, 2020","1,220.30","1,213.59","1,242.41","1,195.91","1.00B","0.03%"
"Mar 10, 2020","1,219.95","1,271.46","1,283.93","1,219.34","1.06B","-1.73%"
"Mar 09, 2020","1,241.39","1,273.22","1,273.34","1,228.26","890.66M","-5.16%"
"Mar 06, 2020","1,308.97","1,332.78","1,342.30","1,300.12","903.03M","-2.02%"
"Mar 05, 2020","1,335.95","1,344.42","1,351.64","1,330.22","840.32M","0.88%"
"Mar 04, 2020","1,324.32","1,323.16","1,349.85","1,319.46","1.21B","-0.17%"
"Mar 03, 2020","1,326.52","1,295.95","1,326.52","1,295.68","1.04B","3.98%"
"Mar 02, 2020","1,275.71","1,291.08","1,302.41","1,265.94","895.54M","1.00%"
"Feb 28, 2020","1,263.04","1,191.15","1,285.09","1,191.15","1.10B","-4.05%"
"Feb 27, 2020","1,316.39","1,357.54","1,363.44","1,316.39","1.53B","-4.16%"
"Feb 26, 2020","1,373.49","1,362.47","1,374.74","1,346.94","1.25B","0.80%"
"Feb 25, 2020","1,362.56","1,380.65","1,384.22","1,359.14","1.25B","-0.65%"
"Feb 24, 2020","1,371.41","1,377.97","1,377.97","1,355.99","1.12B","-2.07%"
"Feb 21, 2020","1,400.41","1,380.69","1,408.89","1,375.57","1.46B","0.89%"
"Feb 20, 2020","1,388.08","1,427.73","1,429.20","1,380.25","1.53B","-2.75%"
"Feb 19, 2020","1,427.28","1,434.64","1,440.37","1,418.89","1.02B","-0.21%"
"Feb 18, 2020","1,430.22","1,438.22","1,438.34","1,424.94","1.19B","-0.92%"
"Feb 17, 2020","1,443.53","1,446.02","1,448.74","1,441.10","1.11B","0.56%"
"Feb 14, 2020","1,435.52","1,447.44","1,454.00","1,434.78","1.09B","-0.37%"
"Feb 13, 2020","1,440.89","1,436.56","1,444.58","1,428.94","1.13B","0.20%"
"Feb 12, 2020","1,437.98","1,437.61","1,456.13","1,428.93","1.77B","0.12%"
"Feb 11, 2020","1,436.30","1,431.06","1,439.92","1,407.76","1.50B","1.29%"
"Feb 10, 2020","1,417.99","1,439.78","1,448.63","1,401.24","1.56B","-2.10%"
"Feb 07, 2020","1,448.48","1,468.34","1,472.27","1,447.42","1.08B","-1.23%"
"Feb 06, 2020","1,466.59","1,472.88","1,488.25","1,463.10","1.43B","-0.12%"
"Feb 05, 2020","1,468.28","1,470.76","1,486.90","1,465.27","1.56B","0.03%"
"Feb 04, 2020","1,467.89","1,444.51","1,468.96","1,440.53","1.28B","2.74%"
"Feb 03, 2020","1,428.79","1,432.60","1,435.25","1,423.38","1.10B","-0.04%"
"Jan 31, 2020","1,429.42","1,446.46","1,449.01","1,429.42","1.61B","-1.08%"
"Jan 30, 2020","1,445.07","1,433.13","1,445.07","1,424.72","1.20B","0.40%"
